,Media Source,Date,Tweets Ago,Compound,Negative,Neutral,Positive
461,The New York Times,Sun Jul 22 00:41:11 +0000 2018,62,-0.0772,0.781,0.097,0.123
462,The New York Times,Sun Jul 22 00:24:49 +0000 2018,63,0.7003,0.746,0.0,0.254
463,The New York Times,Sun Jul 22 00:05:49 +0000 2018,64,-0.2244,0.639,0.212,0.149
464,The New York Times,Sat Jul 21 23:47:47 +0000 2018,65,0.5574,0.833,0.0,0.167
465,The New York Times,Sat Jul 21 23:28:53 +0000 2018,66,-0.4939,0.849,0.151,0.0
466,The New York Times,Sat Jul 21 23:12:16 +0000 2018,67,-0.3182,0.777,0.223,0.0
467,The New York Times,Sat Jul 21 22:53:58 +0000 2018,68,0.0,1.0,0.0,0.0
468,The New York Times,Sat Jul 21 22:48:58 +0000 2018,69,-0.3818,0.755,0.245,0.0
469,The New York Times,Sat Jul 21 22:37:10 +0000 2018,70,0.5719,0.821,0.0,0.179
470,The New York Times,Sat Jul 21 22:17:40 +0000 2018,71,0.25,0.649,0.143,0.208
471,The New York Times,Sat Jul 21 22:01:11 +0000 2018,72,0.5267,0.793,0.0,0.207
472,The New York Times,Sat Jul 21 22:00:07 +0000 2018,73,0.0,1.0,0.0,0.0
473,The New York Times,Sat Jul 21 21:53:43 +0000 2018,74,0.0,1.0,0.0,0.0
474,The New York Times,Sat Jul 21 21:45:03 +0000 2018,75,0.0,1.0,0.0,0.0
475,The New York Times,Sat Jul 21 21:30:06 +0000 2018,76,-0.6705,0.8,0.2,0.0
476,The New York Times,Sat Jul 21 21:15:01 +0000 2018,77,-0.0,0.708,0.123,0.17
477,The New York Times,Sat Jul 21 21:00:11 +0000 2018,78,-0.6705,0.698,0.302,0.0
478,The New York Times,Sat Jul 21 20:45:05 +0000 2018,79,0.3612,0.839,0.0,0.161
479,The New York Times,Sat Jul 21 20:30:11 +0000 2018,80,0.4588,0.857,0.0,0.143
480,The New York Times,Sat Jul 21 20:15:05 +0000 2018,81,-0.296,0.872,0.128,0.0
481,The New York Times,Sat Jul 21 20:00:12 +0000 2018,82,0.7717,0.729,0.0,0.271
482,The New York Times,Sat Jul 21 19:47:47 +0000 2018,83,-0.8658,0.65,0.35,0.0
483,The New York Times,Sat Jul 21 19:30:07 +0000 2018,84,0.3321,0.878,0.0,0.122
484,The New York Times,Sat Jul 21 19:15:04 +0000 2018,85,0.121,0.71,0.133,0.157
485,The New York Times,Sat Jul 21 19:00:06 +0000 2018,86,0.296,0.761,0.0,0.239
486,The New York Times,Sat Jul 21 18:45:07 +0000 2018,87,0.8271,0.697,0.0,0.303
487,The New York Times,Sat Jul 21 18:30:09 +0000 2018,88,0.6072,0.802,0.0,0.198
488,The New York Times,Sat Jul 21 18:15:07 +0000 2018,89,-0.4767,0.866,0.134,0.0
489,The New York Times,Sat Jul 21 18:00:11 +0000 2018,90,0.0,1.0,0.0,0.0
490,The New York Times,Sat Jul 21 17:45:06 +0000 2018,91,0.5994,0.606,0.0,0.394
491,The New York Times,Sat Jul 21 17:30:06 +0000 2018,92,-0.2023,0.921,0.079,0.0
492,The New York Times,Sat Jul 21 17:15:06 +0000 2018,93,0.2263,0.899,0.0,0.101
493,The New York Times,Sat Jul 21 17:00:08 +0000 2018,94,-0.7351,0.763,0.237,0.0
494,The New York Times,Sat Jul 21 16:45:08 +0000 2018,95,-0.4019,0.838,0.162,0.0
495,The New York Times,Sat Jul 21 16:30:06 +0000 2018,96,0.0,1.0,0.0,0.0
496,The New York Times,Sat Jul 21 16:15:03 +0000 2018,97,0.34,0.862,0.0,0.138
497,The New York Times,Sat Jul 21 16:00:02 +0000 2018,98,-0.2263,0.71,0.174,0.116
498,The New York Times,Sat Jul 21 15:45:04 +0000 2018,99,-0.1779,0.647,0.194,0.159
499,The New York Times,Sat Jul 21 15:30:03 +0000 2018,100,0.4019,0.803,0.0,0.197
