,Media Source,Date,Text,Tweets Ago,Compound,Negative,Neutral,Positive
32,BBC News (UK),Wed Nov 07 16:23:48 +0000 2018,How would influencers save Marks &amp; Spencer? https://t.co/cu7VcBQyDA,33,0.4939,0.686,0.0,0.314
33,BBC News (UK),Wed Nov 07 16:12:03 +0000 2018,"5G will be so reliable and fast that UK homes will be able to ditch home broadband, says Three https://t.co/pIgKuUADPs",34,0.0,1.0,0.0,0.0
34,BBC News (UK),Wed Nov 07 16:00:56 +0000 2018,Catherine recovered from OCD by creating a character who personifies her behaviour https://t.co/LhsC4TNzm1,35,0.296,0.833,0.0,0.167
35,BBC News (UK),Wed Nov 07 15:09:33 +0000 2018,Drowning cow saved by 'mermaid' on 200-mile swim https://t.co/9w2o6jpI9t,36,0.4215,0.741,0.0,0.259
36,BBC News (UK),Wed Nov 07 14:57:52 +0000 2018,Ramsgate war memorial turned into bubble bath https://t.co/C2CyK35bn2,37,-0.5994,0.642,0.358,0.0
37,BBC News (UK),Wed Nov 07 14:08:33 +0000 2018,RT @bbcemt: Wildlife trust issues pumpkin warning https://t.co/8jAVuz4Oms https://t.co/vfDLzECw8N,38,0.2263,0.551,0.189,0.26
38,BBC News (UK),Wed Nov 07 14:03:08 +0000 2018,What is it like to prevent a suicide? https://t.co/1xDX15aYqa,39,-0.4404,0.382,0.344,0.275
39,BBC News (UK),Wed Nov 07 13:44:00 +0000 2018,"JK Rowling sues former employee for £24,000 https://t.co/dS9Iu6ih9b",40,0.3885,0.727,0.0,0.273
40,BBC News (UK),Wed Nov 07 13:20:21 +0000 2018,Mid-term elections: Trump hails 'Big Victory' despite House losses https://t.co/xylCIy2rS8,41,0.3089,0.799,0.0,0.201
41,BBC News (UK),Wed Nov 07 13:15:14 +0000 2018,Megan Lee: Takeaway bosses jailed over nut allergy death https://t.co/MDKF2gwAoW,42,-0.7964,0.53,0.47,0.0
42,BBC News (UK),Wed Nov 07 12:39:52 +0000 2018,Sri Lanka v England: Moeen Ali &amp; Ben Foakes star as tourists dominate in Galle https://t.co/oQ91a1xhhC,43,-0.128,0.903,0.097,0.0
43,BBC News (UK),Wed Nov 07 12:35:21 +0000 2018,Jack White 'disappointed' after gig venue tells gay fans to stop kissing https://t.co/6VDYG8kx3e,44,0.3612,0.651,0.13,0.219
44,BBC News (UK),Wed Nov 07 11:31:18 +0000 2018,John Lewis chairman Sir Charlie Mayfield to step down https://t.co/eRVNg6353J,45,0.0,1.0,0.0,0.0
45,BBC News (UK),Wed Nov 07 11:01:28 +0000 2018,"RT @BBCWalesNews: Footballer Ched Evans was cleared of rape on appeal and is now attempting to recoup millions in lost earnings
https://t.c…",46,-0.765,0.693,0.255,0.051
46,BBC News (UK),Wed Nov 07 10:54:35 +0000 2018,"RT @bbclaurak: 2. Senior Tory says 'if this legal advice is the crucial thing, then it's crucial that everyone sees it. Theresa May has a p…",47,0.1593,0.937,0.0,0.063
47,BBC News (UK),Wed Nov 07 10:54:29 +0000 2018,"RT @bbclaurak: 1. Chatter that an amendment calling for publication might be laid next week - with DUP, and Brexiteers v likely to back it…",48,0.0,1.0,0.0,0.0
48,BBC News (UK),Wed Nov 07 10:40:31 +0000 2018,RT @VictoriaLIVE: 'There are over 100 people walking the streets of London who won't be in one year’s time ... because they will have been…,49,0.0,1.0,0.0,0.0
49,BBC News (UK),Wed Nov 07 10:40:22 +0000 2018,"RT @VictoriaLIVE: ‘Knife crime is our biggest priority but we - alone - cannot prevent it’ - Met Police Assistant Commissioner, @MartinHewi…",50,-0.5942,0.732,0.268,0.0
50,BBC News (UK),Wed Nov 07 10:40:03 +0000 2018,"RT @VictoriaLIVE: 'I don’t feel safe at all in London – the streets aren’t safe anymore' - Rico Finlayson, who was stabbed 10 times by a ga…",51,0.4404,0.707,0.098,0.195
51,BBC News (UK),Wed Nov 07 10:21:40 +0000 2018,Should there be a tax on red meat? https://t.co/1gLWuEVGzT,52,0.0,1.0,0.0,0.0
52,BBC News (UK),Wed Nov 07 10:17:03 +0000 2018,Sir David Attenborough series Dynasties tackles nature's 'lack of space' https://t.co/4i0fNtrXJL,53,-0.3182,0.813,0.187,0.0
53,BBC News (UK),Wed Nov 07 10:08:53 +0000 2018,Chinese staff forced to drink urine and eat roaches https://t.co/3evrMrncCh,54,-0.4588,0.75,0.25,0.0
